,Unnamed: 0,customer,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
0,0,QZ44356,Arizona,F,Bachelor,697953,0,94,0,Personal Auto,Four-Door Car,1131
1,1,AI49188,Nevada,F,Bachelor,1288743,48767,108,0,Personal Auto,Two-Door Car,566
2,2,WW63253,California,M,Bachelor,764586,0,106,0,Corporate Auto,SUV,529
3,3,GA49547,Washington,M,High School or Below,536307,36357,68,0,Personal Auto,Four-Door Car,17
4,4,OC83172,Oregon,F,Bachelor,825629,62902,69,0,Personal Auto,Two-Door Car,159
5,5,XZ87318,Oregon,F,College,538089,55350,67,0,Corporate Auto,Four-Door Car,321
6,6,CF85061,Arizona,M,Master,721610,0,101,0,Corporate Auto,Four-Door Car,363
7,7,DY87989,Oregon,M,Bachelor,2412750,14072,71,0,Corporate Auto,Four-Door Car,511
8,8,BQ94931,Oregon,F,College,738817,28812,93,0,Special Auto,Four-Door Car,425
9,9,SX51350,California,M,College,473899,0,67,0,Personal Auto,Four-Door Car,482
10,10,QK46697,Washington,M,Bachelor,617710,61040,79,1,Personal Auto,Two-Door Car,20
11,11,HS14476,Washington,M,College,916206,29723,80,0,Personal Auto,Four-Door Car,20
12,12,HD95276,Washington,F,College,473787,0,130,0,Personal Auto,SUV,23
13,13,YD87931,Washington,M,Doctor,495165,46896,35354,1,Personal Auto,Four-Door Car,31
14,14,NW21079,Washington,F,Master,487938,67163,61,2,Personal Auto,Two-Door Car,33
15,15,YB66933,Washington,F,Bachelor,538275,77552,68,1,Corporate Auto,Four-Door Car,45
16,16,OW15518,Washington,F,College,1595001,0,87,1,Personal Auto,Two-Door Car,46
17,17,GP39118,Washington,M,High School or Below,499655,71600,63,0,Personal Auto,Two-Door Car,46
18,18,SG20925,Washington,F,Master,518579,99428,6464,1,Personal Auto,Four-Door Car,48
19,19,FM14335,Washington,F,College,1048491,61108,89,0,Personal Auto,Four-Door Car,49
20,20,HS28694,Washington,F,High School or Below,282986,25317,71,0,Personal Auto,Two-Door Car,50
21,21,LH92841,Washington,F,Bachelor,725595,88891,89,0,Personal Auto,Four-Door Car,50
22,22,AZ95587,Arizona,F,Bachelor,1038855,61222,89,0,Special Auto,Four-Door Car,392
23,23,DS81757,Oregon,M,College,247012,0,74,0,Personal Auto,Two-Door Car,721
24,24,OJ94107,Arizona,M,Master,561906,50335,140,0,Personal Auto,SUV,456
25,25,LP84436,California,F,High School or Below,904711,0,127,0,Personal Auto,Luxury,1087
26,26,FF22360,Washington,F,Doctor,268731,82210,68,4,Personal Auto,Four-Door Car,51
27,27,LM19287,Oregon,F,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,460
28,28,ZU18643,Nevada,M,Bachelor,366077,64495,92,0,Corporate Auto,Four-Door Car,251
29,29,AZ82578,California,F,College,792882,0,72,0,Corporate Auto,Four-Door Car,345
30,30,XC67861,Arizona,F,Bachelor,501175,28859,67,3,Corporate Auto,Two-Door Car,321
31,31,YC43143,Arizona,F,High School or Below,798825,77330,99,0,Personal Auto,Four-Door Car,99
32,32,EK59571,Oregon,M,College,388545,0,105,0,Corporate Auto,Four-Door Car,504
33,33,PA38372,Washington,F,High School or Below,935773,33060,117,0,Personal Auto,Four-Door Car,56
34,34,RO18530,Washington,M,Master,254068,42557,65,0,Personal Auto,Four-Door Car,57
35,35,PD27940,Arizona,M,High School or Below,488516,26372,126,0,Personal Auto,SUV,604
36,36,BS77946,Arizona,F,Bachelor,975330,17514,127,0,Personal Auto,SUV,8
37,37,YM50253,California,F,Bachelor,294615,89270,74,0,Personal Auto,Four-Door Car,316
38,38,NR15332,California,M,High School or Below,258111,29757,65,0,Personal Auto,Four-Door Car,312
39,39,RC62865,Oregon,M,College,351738,51814,92,0,Personal Auto,Four-Door Car,56
40,40,CC15295,Oregon,F,Bachelor,974335,24028,82,0,Personal Auto,Four-Door Car,393
41,41,KA61892,Arizona,M,College,387364,28142,105,0,Personal Auto,Luxury,701
42,42,OS94884,Arizona,F,Bachelor,764928,52705,64,1,Personal Auto,Two-Door Car,128
43,43,ND87334,California,M,High School or Below,228759,0,63,0,Corporate Auto,Two-Door Car,679
44,44,OY51402,Washington,F,High School or Below,825576,54040,103,0,Personal Auto,SUV,59
45,45,YL74911,California,F,College,871492,0,118,0,Personal Auto,SUV,566
46,46,GK92563,Washington,F,Doctor,681923,22492,85,0,Personal Auto,Two-Door Car,61
47,47,HL53154,California,M,Bachelor,741619,0,77,2,Personal Auto,Four-Door Car,554
48,48,RI78966,Oregon,M,Master,777115,21876,68,0,Personal Auto,Four-Door Car,465
49,49,IC13702,California,F,Bachelor,696834,0,69,1,Personal Auto,Four-Door Car,496
50,50,BE10809,California,F,High School or Below,425028,0,61,1,Personal Auto,Four-Door Car,292
51,51,HT87217,Oregon,F,High School or Below,1977656,70699,82,0,Personal Auto,Four-Door Car,256
52,52,TH95618,California,F,High School or Below,2134346,0,74,1,Personal Auto,Four-Door Car,355
53,53,TS19868,California,M,College,241313,27501,63,0,Personal Auto,Four-Door Car,542
54,54,LP45550,Oregon,F,Doctor,1536384,15897,101,0,Personal Auto,Four-Door Car,303
55,55,QR87004,Nevada,F,College,845696,25141,73,1,Personal Auto,Four-Door Car,25
56,56,OE75747,Nevada,F,College,218964,0,61,3,Personal Auto,Four-Door Car,292
57,57,DX91392,California,M,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787
58,58,AB72731,California,F,Bachelor,463998,28358,117,0,Personal Auto,Luxury,84
59,59,GX84338,Washington,F,Doctor,382443,62530,95,0,Personal Auto,Four-Door Car,61
60,60,IS12901,Arizona,F,Bachelor,596811,90972,74,0,Personal Auto,Two-Door Car,232
61,61,BN90616,Washington,F,Bachelor,859033,63110,72,0,Personal Auto,Four-Door Car,68
62,62,HH90090,California,F,Bachelor,407663,29549,104,0,Personal Auto,Luxury,710
63,63,IU25463,California,F,Bachelor,1225260,0,115,1,Personal Auto,Four-Door Car,552
64,64,KC11055,Nevada,F,Bachelor,1693627,39411,217,2,Personal Auto,Luxury,1122
65,65,PD33979,Oregon,M,High School or Below,489243,21709,62,0,Personal Auto,Four-Door Car,408
66,66,NK71023,Nevada,M,Bachelor,994230,67890,85,0,Personal Auto,Four-Door Car,408
67,67,AB13432,California,M,Bachelor,373583,0,110,0,Personal Auto,SUV,792
68,68,OZ97704,California,F,High School or Below,1311752,84311,111,4,Personal Auto,SUV,532
69,69,UF46533,California,F,College,457452,99316,114,0,Corporate Auto,SUV,754
70,70,XP47431,Arizona,F,Bachelor,547006,54507,138,0,Personal Auto,SUV,702
71,71,GK73582,California,F,Bachelor,297884,64586,76,0,Personal Auto,Four-Door Car,206
72,72,RV98763,Oregon,M,College,641096,61709,82,2,Personal Auto,Four-Door Car,275
73,73,II62831,California,M,Master,447902,94656,111,1,Special Auto,SUV,459
74,74,XK33449,California,F,High School or Below,238373,0,69,0,Special Auto,Two-Door Car,496
75,75,TR85083,California,M,Bachelor,276449,61085,70,1,Personal Auto,Two-Door Car,336
76,76,EO95328,Oregon,F,Bachelor,792010,89284,67,3,Personal Auto,Two-Door Car,321
77,77,EN21086,Arizona,F,High School or Below,688909,0,63,0,Personal Auto,Four-Door Car,302
78,78,YL83902,Washington,F,Bachelor,327419,31686,81,0,Personal Auto,Four-Door Car,430
79,79,AZ62651,Oregon,M,High School or Below,995170,56855,255,0,Corporate Auto,Luxury SUV,1836
80,80,ZW25874,Oregon,M,Bachelor,252155,53703,67,2,Special Auto,Four-Door Car,67
81,81,EH41854,Washington,F,High School or Below,2370611,0,96,1,Personal Auto,Two-Door Car,844
82,82,MW70227,California,M,College,604702,20396,76,1,Personal Auto,Four-Door Car,364
83,83,SL22297,California,F,Master,1114030,27679,150,0,Personal Auto,SUV,722
84,84,RV14138,Nevada,F,Bachelor,433406,23904,123,3,Personal Auto,SUV,590
85,85,UO62808,Arizona,F,High School or Below,279974,65351,69,0,Corporate Auto,Four-Door Car,481
86,86,ZX64745,California,M,College,792313,0,113,0,Personal Auto,SUV,1124
87,87,FL34139,California,M,High School or Below,368811,0,63,3,Personal Auto,Four-Door Car,669
88,88,TS11219,California,M,College,1206745,0,116,0,Personal Auto,SUV,1284
89,89,XX12304,California,F,College,292497,64459,72,0,Personal Auto,Four-Door Car,240
90,90,SD64087,California,M,College,1501409,32961,190,0,Corporate Auto,SUV,912
91,91,OY38576,Oregon,F,High School or Below,927723,71416,116,0,Corporate Auto,SUV,556
92,92,BG76355,Washington,F,Bachelor,627412,68964,78,0,Personal Auto,Four-Door Car,115
93,93,IP66913,California,M,High School or Below,388664,78108,98,0,Personal Auto,Two-Door Car,470
94,94,LE95702,California,M,College,438627,10621,67,0,Special Auto,Four-Door Car,321
95,95,KX54357,Washington,M,College,1136526,84910,95,0,Corporate Auto,Two-Door Car,383
